trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.1, 'e': 0.5989560064661611}",20,4,-16.773903978361027,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.1, 'e': 0.5929664464014994}",20,5,-22.428420056170935,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.5870367819374844}",30,0,-7.499823591843757,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.5811664141181095}",25,0,-6.349677184649234,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.5753547499769285}",30,0,-127.25088561124933,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.5696012024771592}",20,0,-17.27458884598643,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.5639051904523876}",25,3,-41.99987230726072,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.1, 'e': 0.5582661385478638}",20,8,-8.52970670848832,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.5526834771623851}",25,0,-2.903662587922123,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.5471566423907612}",20,0,-41.85160040290461,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.1, 'e': 0.5416850759668536}",20,12,-28.10974253629521,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.1, 'e': 0.536268225207185}",20,0,-52.878850701397404,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.1, 'e': 0.5309055429551132}",20,12,-14.453856356904742,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.525596487525562}",25,17,15.09969437703321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.5203405226503064}",25,13,-44.50971332769931,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.1, 'e': 0.5151371174238033}",30,7,-69.5834165592177,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.1, 'e': 0.5099857462495653}",20,0,-23.720574217488604,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.1, 'e': 0.5048858887870696}",25,0,-80.93121446939742,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.4998370298991989}",20,9,9.853299434668582,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.49483865960020695}",30,7,-55.87586237505528,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.1, 'e': 0.4898902730042049}",25,0,-43.81398574253441,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.48499137027416284}",30,14,-104.38094967028074,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
73,False,"{'a': 0.1, 'e': 0.4801414565714212}",35,21,8.554096862325089,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.475340042005707}",20,7,-68.2917413997199,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.1, 'e': 0.47058664158564995}",20,0,0.6384692084845369,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.4658807751697934}",25,4,-34.56207962777531,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
77,False,"{'a': 0.1, 'e': 0.4612219674180955}",20,0,4.7339229505764555,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.45660974774391455}",20,0,-4.902817721549075,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.4520436502664754}",25,0,-105.12856846694244,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.1, 'e': 0.44752321376381066}",20,10,-41.321903858131314,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.44304798162617254}",25,0,-0.3582140838477237,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.4386175018099108}",30,0,-46.98652983961846,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.4342313267918117}",20,0,9.875111872725581,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.4298890135238936}",20,0,-4.120861878767428,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.42559012338865465}",20,12,-1.1784698768081574,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.4213342221547681}",20,11,5.713582256965536,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.41712087993322045}",20,1,-63.12967729463611,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
88,False,"{'a': 0.1, 'e': 0.41294967113388825}",20,2,-3.719166068318608,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.40882017442254937}",30,18,3.5385472566894745,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.4047319726783239}",20,8,-41.58676404198619,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.1, 'e': 0.40068465295154065}",20,12,17.051326183892506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.39667780642202527}",30,20,5.741736142171342,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.392711028357805}",20,14,-2.739439193096608,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.38878391807422696}",20,7,8.52716690261123,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.3848960788934847}",30,10,21.533667972069367,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.38104711810454983}",25,19,-2.91660601132763,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.37723664692350434}",35,13,8.741162555884706,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.37346428045426927}",20,9,18.314487007184784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.36972963764972655}",25,0,13.03182203316613,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.36603234127322926}",30,18,20.949493917271663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.36237201786049694}",20,0,8.849228790693674,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.358748297681892}",20,12,4.70082763917243,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.35516081470507305}",25,0,12.092409317351667,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.1, 'e': 0.3516092065580223}",25,9,-32.7210728375712,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
105,False,"{'a': 0.1, 'e': 0.34809311449244207}",25,14,-10.018356885326922,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.34461218334751764}",25,3,35.99569721881668,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.34116606151404244}",25,6,-6.687430433883278,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.337754400898902}",30,11,14.082746922252849,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.334376856889913}",20,9,5.3877150548990524,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.33103308832101386}",25,13,17.025167327746004,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
